# word|next1,next2,next3
i|am,will,can,have,don't,think,want,need,was,would
you|are,can,have,will,know,want,need,should,don't,think
we|are,can,have,will,should,need,want,don't,will,go
they|are,were,will,can,have,don't,should,would,go,said
he|is,was,will,has,had,can,should,would,does,did
she|is,was,will,has,had,can,should,would,does,said
it|is,was,will,has,had,can,would,should,does,may
this|is,was,will,has,had,can,would,should,may,has
that|is,was,will,has,had,can,would,should,may,has
what|is,are,was,were,do,did,can,will,would,happened
how|are,you,is,do,did,can,much,many,about,to
when|is,are,was,were,do,did,can,will,would,you
where|is,are,was,were,do,did,can,will,would,you
who|is,are,was,were,do,did,can,will,would,you
why|is,are,was,were,do,did,can,will,would,you
do|you,you,not,it,we,they,this,that,what,how
did|you,you,not,it,we,they,this,that,what,how
can|you,you,I,we,they,it,this,that,not,please
will|you,you,I,we,they,it,this,that,not,be
would|you,you,I,we,they,it,this,that,not,be
have|you,you,a,to,been,not,any,time,fun,good
has|been,not,a,to,any,time,fun,good,he,she
had|been,not,a,to,any,time,fun,good,he,she
am|going,not,sure,here,there,ready,happy,sorry,fine,good
is|it,this,that,there,not,a,the,he,she,good
are|you,you,there,not,we,they,going,ready,sure,here
was|it,this,that,there,not,a,the,he,she,good
were|you,you,there,not,we,they,going,ready,sure,here
the|best,same,first,last,next,only,other,way,time,day
a|lot,little,bit,good,great,big,small,new,long,short
to|be,do,go,get,see,make,know,take,come,help
and|I,you,we,they,then,also,then,the,a,it
but|I,you,we,they,not,it,is,was,then,also
or|not,so,if,you,I,we,they,then,else,maybe
if|you,you,I,we,they,it,is,was,not,can
so|I,you,we,they,much,many,what,how,that,this
my|name,phone,number,friend,family,mother,father,dear,love,god
your|name,phone,number,friend,family,mother,father,dear,love,help
thank|you,you,so,much,god,goodness,heaven
thanks|for,a,lot,so,much,you,again,anyway
please|let,help,tell,call,send,come,wait,check,confirm
hello|how,there,hi,good,morning,afternoon,evening,how,how
hi|how,there,hello,how,how,good,morning,afternoon,how,how
good|morning,evening,night,afternoon,day,idea,job,news,luck,question
see|you,you,you,what,if,how,when,where,thanks,soon
call|me,you,you,back,now,later,please,when,if,us
send|me,you,it,the,a,photo,picture,message,link,please
let|me,you,you,us,go,know,see,check,try,think
me|too,also,know,think,too,please,back,now,later,soon
not|sure,yet,now,good,bad,working,available,interested,ready,going
