# word|next1,next2,next3 — friendly tone
i|am,love,think,just,really,miss,hope,want,need,feel
you|are,too,know,too,rock,there,good,great,amazing,the
we|should,can,will,are,gotta,need,could,might,will,are
they|are,were,will,can,have,don't,should,would,go,said
he|is,was,will,has,had,can,should,would,does,did
she|is,was,will,has,had,can,should,would,does,said
it|is,was,will,has,had,can,would,should,does,may
this|is,was,will,has,had,can,would,should,may,has
that|is,was,will,has,had,can,would,should,may,has
hey|how,there,you,you,you,you,you,you,you,you
hi|how,there,how,how,how,how,how,how,how,how
hello|how,there,hi,how,how,how,how,how,how,how
what|up,is,are,do,did,can,will,would,happened,about
how|are,you,is,do,did,can,much,many,about,to
when|is,are,was,were,do,did,can,will,would,you
where|is,are,was,were,do,did,can,will,would,you
who|is,are,was,were,do,did,can,will,would,you
why|is,are,was,were,do,did,can,will,would,you
lol|that,yeah,ok,okay,haha,right,true,totally,for,same
haha|yeah,true,right,totally,lol,ok,okay,same,for,sure
yeah|totally,right,sure,ok,okay,def,for,same,i,that
ok|cool,sure,thanks,thanks,got,it,ok,okay,deal,sounds
okay|cool,sure,thanks,got,it,ok,deal,sounds,good,great
thanks|so,much,for,a,lot,you,again,anyway,man,bro
thank|you,you,so,much,god,goodness,heaven,u,ya,thx
sorry|about,for,for,for,for,for,for,for,for,for
love|you,you,you,you,you,you,you,you,you,you
miss|you,you,you,you,you,you,you,you,you,you
good|morning,evening,night,afternoon,day,idea,job,news,luck,vibes
see|you,you,you,what,if,how,when,where,thanks,soon
call|me,you,you,back,now,later,please,when,if,us
let|me,you,you,us,go,know,see,check,try,think
am|going,not,sure,here,there,ready,happy,sorry,fine,good
my|name,phone,number,friend,family,mother,father,dear,love,god
your|name,phone,number,friend,family,mother,father,dear,love,help
nice|to,one,job,work,day,meeting,chat,talk,one
awesome|thanks,job,work,day,news,idea,plan,thanks,thanks,thanks
cool|thanks,thanks,ok,okay,sure,deal,sounds,good,great,nice
