# word|next1,next2,next3 — professional tone
i|would,will,am,have,can,should,must,hereby,please,acknowledge
you|may,will,can,have,should,would,are,might,could,please
we|would,will,can,should,must,have,are,hereby,kindly,please
they|will,can,have,should,would,are,may,might,could,hereby
he|will,has,had,can,should,would,is,was,may,might
she|will,has,had,can,should,would,is,was,may,might
it|is,was,will,has,had,can,would,should,may,might
this|is,was,will,has,has,can,would,should,may,refers
that|is,was,will,has,had,can,would,should,may,refers
dear|sir,madam,colleague,team,client,manager,recipient,partner,all,members
please|find,let,confirm,review,see,note,find,kindly,be,advise
thank|you,you,you,you,you,you,you,you,you,you
thanks|for,in,advance,your,again,regards,kindly,again,again,again
regarding|the,this,that,your,our,matters,issues,concerns,project,meeting
further|to,information,details,updates,action,notice,reference,clarification,assistance,review
kindly|confirm,review,find,note,see,advise,provide,share,let,be
i|would,will,am,have,can,should,must,hereby,please,acknowledge
hello|dear,good,how,how,how,how,how,how,how,how
hi|dear,there,how,how,how,how,how,how,how,how
good|morning,afternoon,evening,day,afternoon,evening,afternoon,evening,day,day
best|regards,wishes,practice,approach,solution,option,way,forward,course,result
sincerely|yours,,,,,,,,,
looking|forward,to,forward,forward,forward,forward,forward,forward,forward,forward
please|let,confirm,review,find,note,see,advise,provide,share,kindly
the|above,following,attached,requested,proposed,scheduled,mentioned,noted,required,expected
a|brief,formal,written,quick,short,detailed,comprehensive,formal,formal,formal
to|whom,confirm,inform,update,schedule,arrange,request,clarify,notify,provide
my|name,apologies,understanding,request,response,feedback,opinion,assessment,analysis,report
your|attention,consideration,response,feedback,approval,confirmation,assistance,cooperation,support,understanding
