# sinhala_word|next1,next2,next3
මම|ඔයාට,යනවා,එනවා,කරනවා,හිතන්නේ,ගියා,බලන්න,දන්නවා,කියන්න,එන්න
ඔයා|කොහොමද,ට,ගේ,වගේ,ද,දන්නවා,හිතන්නේ,කියන්න,යන්න,එන්න
අපි|යමු,යනවා,කරමු,කරනවා,ගියා,එනවා,බලමු,දන්නවා,හිතන්නේ,කියන්න
එයි|ද,නේ,නේද,තමයි,වගේ,බව,පේ,වැදගත්,හරි,නැ
කොහොමද|මචං,ඔයා,දැන්,හරි,නේ,එයි,කොහොම,ද,ය,බල
හරි|මචං,නේ,ද,එයි,බලමු,යමු,කරමු,හරි,හරි,හරි
නැ|තව,හරි,ද,නේ,එයි,මචං,ඔයා,දන්නවා,හිතන්නේ,කියන්න
ද|නේ,එයි,හරි,නැ,තව,මචං,ඔයා,කොහොමද,ද,බල
නේ|ද,නේද,එයි,හරි,නැ,තව,මචං,ඔයා,හිතන්නේ,කියන්න
එන්න|මචං,පුළුවන්,ද,නේ,හරි,ඔයා,අපි,යමු,බලමු,කරමු
යන්න|මචං,පුළුවන්,ද,නේ,හරි,ඔයා,අපි,යමු,බලමු,කරමු
කරන්න|මචං,පුළුවන්,ද,නේ,හරි,ඔයා,අපි,යමු,බලමු,කරමු
බලන්න|මචං,පුළුවන්,ද,නේ,හරි,ඔයා,අපි,යමු,කරමු,කියන්න
කියන්න|මචං,පුළුවන්,ද,නේ,හරි,ඔයා,අපි,යමු,බලමු,කරමු
බොහොම|ඔයාට,නේ,හරි,මචං,ද,එයි,නැ,තව,බල,කියන්න
ඔව්|මචං,නේ,හරි,එයි,ද,නැ,තව,බල,කියන්න,යන්න
නැහැ|නේ,හරි,තව,ද,එයි,මචං,ඔයා,හිතන්නේ,කියන්න,බල
දැන්|මම,ඔයා,අපි,යනවා,එනවා,කරනවා,ගියා,බලන්න,කියන්න,හිතන්නේ
හොඳ|ද,නේ,එයි,හරි,නැ,තව,මචං,ඔයා,හිතන්නේ,කියන්න
හොඳයි|නේ,ද,එයි,හරි,නැ,තව,මචං,ඔයා,හිතන්නේ,කියන්න
මට|තියෙනවා,හිතන්නේ,දන්නවා,කියන්න,බලන්න,යන්න,එන්න,කරන්න,ඕන,පුළුවන්
ඔයාට|කොහොමද,තියෙනවා,දන්නවා,කියන්න,බලන්න,යන්න,එන්න,කරන්න,ඕන,පුළුවන්
ගෙ|නම,අයිය,අක්ක,අම්ම,දර,ලිපිනය,දුරකථන,වැඩ,කාර්යය,ගෙදර
